,DATE,DCOILWTICO
0,2019-05-30,56.47
1,2019-05-31,53.49
2,2019-06-03,53.25
3,2019-06-04,53.5
4,2019-06-05,51.57
5,2019-06-06,52.59
6,2019-06-07,53.95
7,2019-06-10,53.33
8,2019-06-11,53.3
9,2019-06-12,51.13
10,2019-06-13,52.38
11,2019-06-14,52.47
12,2019-06-17,51.94
13,2019-06-18,53.86
14,2019-06-19,53.74
15,2019-06-20,56.88
16,2019-06-21,57.35
17,2019-06-24,57.73
18,2019-06-25,57.63
19,2019-06-26,59.17
20,2019-06-27,59.18
21,2019-06-28,58.2
22,2019-07-01,58.91
23,2019-07-02,56.0
24,2019-07-03,57.06
27,2019-07-08,57.35
28,2019-07-09,57.57
29,2019-07-10,60.28
30,2019-07-11,59.93
31,2019-07-12,59.99
32,2019-07-15,59.3
33,2019-07-16,57.44
34,2019-07-17,56.5
35,2019-07-18,55.08
36,2019-07-19,55.42
37,2019-07-22,55.87
38,2019-07-23,56.58
39,2019-07-24,55.9
40,2019-07-25,55.88
41,2019-07-26,56.04
42,2019-07-29,56.85
43,2019-07-30,58.04
44,2019-07-31,58.53
45,2019-08-01,53.64
46,2019-08-02,55.67
47,2019-08-05,54.63
48,2019-08-06,53.6
49,2019-08-07,51.14
50,2019-08-08,52.6
51,2019-08-09,54.41
52,2019-08-12,54.98
53,2019-08-13,57.05
54,2019-08-14,55.16
55,2019-08-15,54.51
56,2019-08-16,54.83
57,2019-08-19,56.24
58,2019-08-20,56.18
59,2019-08-21,55.65
60,2019-08-22,55.33
61,2019-08-23,54.08
62,2019-08-26,53.54
63,2019-08-27,54.99
64,2019-08-28,55.76
65,2019-08-29,56.67
66,2019-08-30,55.07
68,2019-09-03,53.91
69,2019-09-04,56.22
70,2019-09-05,56.33
71,2019-09-06,56.45
72,2019-09-09,57.88
73,2019-09-10,57.37
74,2019-09-11,55.66
75,2019-09-12,55.13
76,2019-09-13,54.76
77,2019-09-16,63.1
78,2019-09-17,59.26
79,2019-09-18,58.19
80,2019-09-19,58.19
81,2019-09-20,57.92
82,2019-09-23,58.69
83,2019-09-24,57.22
84,2019-09-25,56.38
85,2019-09-26,56.24
86,2019-09-27,55.95
87,2019-09-30,54.09
88,2019-10-01,53.6
89,2019-10-02,52.67
90,2019-10-03,52.41
91,2019-10-04,52.84
92,2019-10-07,52.76
93,2019-10-08,52.64
94,2019-10-09,52.63
95,2019-10-10,53.57
96,2019-10-11,54.76
